y,x1,x2,x3,x4
2,-0.9891213503478509,2.0,0.0,-1.7974356733147057
1,-0.3677866514678832,2.0,0.0,-0.7199883547077675
2,1.2879252612892487,2.0,0.0,0.9022587466235515
2,0.1939744191326132,2.0,1.0,1.1049513848494625
3,0.9202308996398569,2.0,0.0,0.918704234587448
2,0.5771037912572513,3.0,0.0,1.2469014522585056
2,-0.6364636463709805,1.0,0.0,-0.23100783062225022
2,0.5419522204102933,3.0,1.0,-0.42931495743444925
1,-0.3165954511658161,2.0,0.0,1.9131941083053436
2,-0.32238911615896015,3.0,1.0,-0.767729408446127
3,0.09716731867045719,1.0,0.0,-0.07798835841589828
1,-1.5259304065189514,2.0,0.0,-0.08654888294252082
3,1.1921661041016585,2.0,1.0,-0.3813378979001686
2,-0.6710896751741096,3.0,0.0,-0.2185359297058166
1,1.0002694196594604,2.0,1.0,-0.21154278243876756
3,0.1363211238531175,2.0,1.0,0.2937544177034314
3,1.5320330796287964,2.0,1.0,-0.15501692582549922
1,-0.6599694137918207,1.0,1.0,1.0937231188196253
3,-0.31179485646991756,3.0,1.0,-0.2683020405796239
3,0.337769126558826,3.0,0.0,-0.1445977233121424
1,-2.2074710981998042,3.0,1.0,0.25729877724863887
3,0.8279214415587369,3.0,0.0,-1.5268074588544938
2,1.541630394690618,3.0,0.0,-0.678912121193705
3,1.126806793265028,2.0,0.0,0.7043705483935216
2,0.7547696443122508,2.0,1.0,0.3590270499185948
3,-0.14597789311522394,2.0,0.0,0.09077242955093318
3,1.2819022270597127,2.0,0.0,0.4194387941622846
3,1.0740306219719435,2.0,0.0,-1.1166580900395506
2,0.39262084457727114,3.0,0.0,0.20893939653704058
2,0.005114312828982818,3.0,0.0,-0.6231699382296123
2,-0.3617668721609232,2.0,0.0,0.41013815809185544
1,-1.230232195490445,2.0,0.0,1.6502349044470748
3,1.2262292928211507,2.0,1.0,-1.2408045117082678
2,-2.1720438866851817,3.0,1.0,1.582179079139049
1,-0.37014734585231535,2.0,1.0,-0.6133799477514673
3,0.16438006967466792,2.0,1.0,0.5277965540795665
3,0.8598811846127368,3.0,0.0,-0.9652352636973905
2,1.761661236511811,2.0,1.0,-0.3181482422193916
1,0.993323775951811,1.0,0.0,-1.1392779817126006
1,-0.29152142609843873,2.0,0.0,1.2684536988447475
3,0.7281275578891427,3.0,1.0,2.061816474665797
3,-1.2616003169196963,3.0,1.0,-0.5467976611163116
1,1.4299385266887068,1.0,1.0,-0.3294167762064874
