,numpy_loop,numpy_loop_shared_joblib,numpy_loop_joblib_conquer,EconML
1000_1,7.641767321666667,7.606526821333337,9.304593224000001,0.8488840946666633
1000_4,7.679053858666663,6.995464102,9.87710807933334,0.8488840946666633
1000_8,7.9764724803333324,7.291344754000003,9.536245100333323,0.8488840946666633
2500_1,38.07779228866667,38.13355887299999,44.714200954,0.9152323679999957
2500_4,37.67598727066669,19.819361775666682,35.38717157066666,0.9152323679999957
2500_8,37.0656219146667,19.157136795333297,33.139933565333344,0.9152323679999957
5000_1,127.45925352733336,183.06502762199997,209.77922100599986,0.9230310496666334
5000_4,162.1136091873333,127.9615828916667,192.3183934666666,0.9230310496666334
5000_8,185.31128803633328,124.12426886566664,178.56575454166673,0.9230310496666334
10000_1,658.4830308776667,533.0573670529999,699.8315489383336,2.992799312666648
10000_4,502.05539847733354,265.64726594033345,546.300555776667,2.992799312666648
10000_8,588.7016541576662,447.06382597066596,568.046832842334,2.992799312666648
20000_1,4046.6930771600005,3825.1021526339987,6034.5036366896675,1.5843056893342389
20000_4,3952.583872800334,1683.844534491999,3736.922841647664,1.5843056893342389
20000_8,4400.995267584668,1224.881375291666,4509.330904094667,1.5843056893342389
