;numpy_loop;numpy_loop_shared_joblib;numpy_loop_joblib_conquer;EconML
1000_1;16.73078685;16.0582187;20.6219416;1.619239392
1000_4;15.9608695;21.64737989;37.20241257;1.619239392
1000_8;16.39708303;21.2729805;36.03827476;1.619239392
2500_1;75.31209004;75.11373563;102.5397673;1.907689707
2500_4;76.40162415;72.57058903;162.7294969;1.907689707
2500_8;78.49755054;92.17453137;161.6304332;1.907689707
5000_1;284.348364;278.0847592;392.7494085;2.306536238
5000_4;279.8945937;261.826045;533.8876511;2.306536238
5000_8;286.8595082;300.1607764;481.41182;2.306536238
10000_1;1118.210644;1115.539105;1580.773359;2.889754746
10000_4;1185.656962;935.0390912;1634.295504;2.889754746
10000_8;1137.715322;1036.231708;1543.639897;2.889754746
20000_1;4215.280233;4108.872572;5896.719229;5.506047315
20000_4;4140.538436;3234.840893;5367.853251;5.506047315
20000_8;4636.075704;3791.813611;5908.382565;5.506047315
